Objective;Move;Actions
buyback;do_buyback;do_buyback
;;
glyph;do_glyph;do_glyph
;;
swap_items;put_item_in_inventory;put_item_in_inventory
;swap_tp_enchanted_mango;swap_tp_enchanted_mango
;swap_tp_flask;swap_tp_flask
;;
item_hp_recovery;heal_tango;heal_tango
;heal_flask;heal_flask
;heal_faerie_fire;heal_faerie_fire
;heal_magic_stick;heal_magic_stick
;tp_base;tp_base
;;
base_recovery;deliver_items;deliver_items
;restore_hp_on_base;restore_hp_on_base
;restore_mp_on_base;restore_mp_on_base
;move_base;move_base
;;
evasion;move_safe_recovery;move_safe_recovery
;evade_enemy_hero;evade_enemy_hero
;evade_enemy_creeps;evade_enemy_creeps
;evade_enemy_tower;evade_enemy_tower
;;
force_stop;stop;stop_attack_and_move
